,orig_area,surface16,planerS16,surface32,planerS32,max_h,min_h,fd16,fd32,surface_complexity,mean_slope,mean_profile_curvature,mean_plan_curvature,BSR,MAENG,MERCC,MERNC,SCC,SERP,SUSA,UNFO
A-1_01,1.03,2.72823840230977,0.9216,2.72823840230977,0.9216,31.7653007507324,30.2167263031006,2.19497242198247,2.20162496585654,2.96032812750626,47.8551547385742,4.69712317997109,2.47727891618714,31.944444444444443,0.0,45.138888888888886,0.0,0.0,4.166666666666667,6.25,12.5
A-2_00,1.0932,2.58570163539328,0.8448,1.75916257485155,0.512,20.2710914611816,19.179801940918,2.29592481068673,2.30588191947463,3.06072636765303,51.3625189449131,9.36725987035635,7.5874468556578,8.843537414965986,0.0,0.0,0.0,0.0,78.91156462585035,0.0,12.244897959183673
A-2_01,1.0851,3.08936051903526,0.9216,2.14611505578284,0.6144,21.1490287780762,19.9613571166992,2.29130121837667,2.26812984949047,3.35217070207819,52.3649529082608,7.18454291546648,5.26453187083859,8.51063829787234,0.0,0.0,0.0,0.0,82.97872340425532,0.0,8.51063829787234
A-2_02,1.0956,2.78241536247548,0.9216,1.84227108362214,0.6144,22.1020698547363,20.8793182373047,2.24161911153325,2.26785355250049,3.01911389157496,46.5452448261554,3.68039995617159,4.83957403473691,54.76190476190476,0.0,0.0,0.0,0.0,41.26984126984127,0.0,3.9682539682539684
A-2_03,1.0936,1.51766353110747,0.768,1.24931378164474,0.6144,22.6081733703613,21.7432060241699,2.15138976110892,2.15055467588034,1.97612438946285,44.8306255116952,0.763624667629639,2.14094525640279,99.12280701754386,0.0,0.0,0.0,0.0,0.0,0.0,0.8771929824561403
A-2_04,1.0802,2.67162406302658,0.768,2.23988173413339,0.6144,24.3210773468018,22.5419273376465,2.19572105871484,2.18999218157219,3.4786771653992,52.9853008772166,10.2897491400299,8.53405709559121,89.85507246376811,0.0,0.0,0.0,0.0,0.0,0.0,10.144927536231885
A-2_05,1.0896,1.48823615142838,0.8448,1.20617443702265,0.7168,24.9488716125488,24.042573928833,2.11078445901712,2.11032526983962,1.76164317167185,38.6512132888821,0.865922711177774,-0.341619519128539,85.07462686567165,0.0,0.0,0.0,0.0,0.0,0.0,14.925373134328359
A-3_00,1.0719,2.64032550067051,0.768,2.09503579838191,0.6144,17.2815361022949,16.2886581420898,2.3685225724364,2.33370562519593,3.43792382899806,54.462433341564,8.23658512082386,8.17304065130161,19.148936170212767,0.0,0.0,0.0,0.0,46.09929078014184,0.0,34.751773049645394
A-3_01,1.0812,1.97035312068851,0.768,1.56778399803457,0.6144,17.6903648376465,16.808385848999,2.26527831096575,2.24427461958133,2.56556395922984,47.325267926517,-2.47300696993548,-3.35816553580843,57.69230769230769,33.07692307692308,0.0,0.0,0.0,4.615384615384615,0.0,4.615384615384615
A-3_02,1.091,2.22914323613526,0.768,1.71943276870163,0.6144,18.6934547424316,17.3102550506592,2.21252166424946,2.19753045937256,2.90253025538445,43.8552173131541,7.69727116876891,7.05111389625523,47.2,25.6,0.0,0.0,0.0,27.2,0.0,0.0
A-3_03,1.0938,3.24777136583213,0.8704,3.14608277601185,0.8192,19.5080032348633,18.4158573150635,2.32825973074959,2.29476978059182,3.73135496993581,51.8171608738822,16.1870838626582,16.4305916072012,45.588235294117645,0.0,0.0,0.0,0.0,52.205882352941174,0.0,2.2058823529411766
A-4_00,1.0595,3.34210179092509,0.768,2.63982996583485,0.6144,12.7199115753174,11.4995107650757,2.38822110046156,2.3495156086634,4.35169504026705,58.3411593810426,7.36281610433989,6.88810689373857,51.006711409395976,0.0,0.0,0.0,0.0,46.97986577181208,0.0,2.0134228187919465
A-4_01,1.0555,3.6797204675479,0.768,3.093663581391,0.6144,13.8315763473511,12.3822956085205,2.44791836507233,2.39517586192171,4.79130269211966,58.536898136832,-8.2830498748472,-9.16545225430925,82.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
A-4_02,1.0522,2.2439107042275,0.768,1.76110832312242,0.6144,14.6688117980957,13.2447185516357,2.2973770586186,2.26875706488211,2.92175872946289,49.8870334384873,13.2134175060327,9.52074554863695,27.210884353741495,0.0,0.0,0.0,0.0,72.10884353741497,0.0,0.6802721088435374
A-4_03,1.0489,2.71943761415013,0.768,2.27438424488172,0.6144,15.5025520324707,14.2832012176514,2.30987636010756,2.28935857874579,3.54093439342464,53.9387162608558,6.9553472332128,8.9454881158724,52.027027027027025,0.0,0.0,0.0,0.0,43.24324324324324,0.0,4.72972972972973
A-4_04,1.0445,3.14768418884183,0.8448,2.8448887941996,0.7168,16.2673110961914,14.9898052215576,2.38228612101278,2.36086711086316,3.72595192807982,54.7743966014032,13.5610925529182,12.8560922424469,13.698630136986301,0.0,0.0,0.0,0.0,83.56164383561644,0.0,2.73972602739726
B-1_00,1.0608,1.1398313413553,0.9216,1.1398313413553,0.9216,7.86322736740112,7.4187388420105,2.05355951152366,2.04586216224969,1.23679616032476,24.1783050058185,-2.00904123567455,-1.89746155651611,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
B-1_01,1.0447,1.28522576608847,0.9216,1.28522576608847,0.9216,8.01667976379395,7.44228792190552,2.09174691017469,2.07805617668212,1.3945592079953,28.0810679437697,-5.12675446222535,-4.84291385192325,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
B-1_10,1.0576,1.24417910310759,0.9216,1.24417910310759,0.9216,8.35881996154785,7.79246234893799,2.07662333931223,2.07141761508022,1.35002072819834,29.033692869896,-4.49116008053814,-1.94094688714119,0.0,0.0,18.055555555555557,0.6944444444444444,0.0,0.0,81.25,0.0
B-1_11,1.0577,2.75123936581115,0.9216,2.75123936581115,0.9216,9.21282482147217,7.82135677337646,2.26707183727464,2.24173697663776,2.98528577019439,45.1082504987585,-16.2379801125187,-14.9983934589539,0.0,0.0,37.096774193548384,0.0,0.0,0.0,59.67741935483871,3.225806451612903
C-1_00,1.3558,1.88884236817201,1.1008,1.23741601251627,0.9216,1.56841921806335,0.25584751367569,2.10313973621084,2.04474805955634,1.71588151178417,37.8380593837188,-4.84715561080363,-2.42331962953567,0.0,0.0,1.3605442176870748,0.6802721088435374,47.61904761904762,0.0,50.34013605442177,0.0
C-1_01,1.3755,2.07769044987982,1.2288,2.07769044987982,1.2288,0.408583343029022,-0.533610880374908,2.11503287454813,2.10369244752843,1.69082881663397,38.8236265212038,-2.29353486204136,-1.83700474191558,0.0,0.0,5.0,0.0,74.28571428571429,0.0,13.571428571428571,7.142857142857143
C-2_00,1.1002,1.55000967105497,0.9216,1.55000967105497,0.9216,-0.357554197311401,-1.1228814125061,2.12500493843064,2.11331799715579,1.68186813265514,38.5716597793114,-5.80400086886582,-5.65020273952204,0.0,0.0,8.695652173913043,0.0,33.91304347826087,0.0,52.17391304347826,5.217391304347826
D-1_00,1.2551,4.19064783850414,0.9728,3.06978514330266,0.7168,6.98089504241943,5.83244895935059,2.39486594779884,2.335449381911,4.30782055767285,58.00456439076,4.80515452591193,6.46707482771047,68.08510638297872,0.0,0.0,0.0,0.0,31.914893617021278,0.0,0.0
D-2_00,1.081,3.27943984404855,0.768,2.90350457666979,0.6144,7.6409707069397,6.03647708892822,2.34247325091352,2.3564215205965,4.27010396360488,56.9769667156741,13.1256772911299,10.2483572028667,57.48031496062992,0.0,17.322834645669293,0.0,0.0,22.834645669291337,0.0,2.3622047244094486
D-2_10,1.0908,2.34634649791322,0.9216,2.34634649791322,0.9216,6.52368640899658,5.01394081115723,2.20068013679583,2.19114955768992,2.54594889096486,51.8113248918168,1.51405465020736,2.17444335411269,71.62162162162163,0.0,1.3513513513513513,0.0,0.0,27.027027027027028,0.0,0.0
D-3_00,1.0914,3.67924807038984,0.9216,3.67924807038984,0.9216,6.96830654144287,4.96517658233643,2.30387461561653,2.26581823033024,3.9922396597112,50.8450393404317,9.82290713967921,11.3276311189954,61.111111111111114,0.0,0.6944444444444444,0.0,0.0,38.19444444444444,0.0,0.0
E-1_00,1.1735,2.48442066928776,0.8704,2.39025338599631,0.8192,-0.423068583011627,-1.60796141624451,2.30833161426373,2.28044714773936,2.85434359982509,51.1062226842257,6.76242608764347,6.07723263748243,42.27642276422764,0.0,0.0,0.0,0.0,49.59349593495935,0.0,8.130081300813009
E-2_00,1.068,2.85633106991833,0.8704,2.6864177180823,0.8192,-0.889539003372192,-1.99758124351501,2.34538553394514,2.30879568578261,3.28163036525544,54.0172500365286,5.52267720346629,3.87462001753297,73.57142857142857,0.0,0.0,0.0,0.0,22.857142857142858,0.0,3.5714285714285716
E-2_01,1.0648,2.53970204786022,0.8192,2.24043191782379,0.7168,-1.29135274887085,-2.15167689323425,2.3434821039169,2.30676009042095,3.10022222639187,54.2542885221953,2.01861431243284,3.79689187952135,45.038167938931295,0.0,0.0,0.0,0.0,54.961832061068705,0.0,0.0
F-1_00,1.0506,1.68005622732536,0.9216,1.68005622732536,0.9216,-1.01797163486481,-2.4961097240448,2.07599778291851,2.08225395846923,1.82297767721936,46.5885240689915,-0.499429273726053,-0.250310190333601,62.16216216216216,0.0,37.83783783783784,0.0,0.0,0.0,0.0,0.0
F-2_00,1.1118,1.48704447796367,0.768,1.02582257938779,0.6144,-1.20322573184967,-2.57949161529541,2.10754331947381,2.12496008083128,1.93625583068186,44.7094582519836,-0.553218429817823,-1.4235096527351,50.67567567567568,0.0,35.13513513513514,1.3513513513513513,0.0,8.108108108108109,4.054054054054054,0.6756756756756757
F-2_01,1.1201,1.74660220882787,0.8704,1.65649807421153,0.8192,-1.42874813079834,-2.82260799407959,2.10793948307851,2.11643436251014,2.00666614065702,43.9653896884434,-1.80243327263319,-0.168368355827246,73.33333333333333,0.0,13.333333333333334,0.0,0.0,6.0,2.0,5.333333333333333
F-2_02,1.112,1.97854199098772,0.9216,1.97854199098772,0.9216,-1.44485759735107,-3.25179767608643,2.07448182493428,2.08374991272433,2.14685545897105,51.4726172775433,-3.03446740474799,-0.147767913227279,74.66666666666667,0.0,22.0,0.0,0.0,3.3333333333333335,0.0,0.0
F-3_00,1.0656,1.8083975818038,0.8192,1.52661957453013,0.7168,-1.32689261436462,-3.19528102874756,2.05831191656308,2.07189851282372,2.20751657935034,59.8455946604608,-1.6112422679571,-0.452041339595735,6.8493150684931505,0.0,83.56164383561644,0.0,0.0,0.0,1.36986301369863,8.219178082191782
F-4_00,1.1632,2.23004189969905,0.8704,2.13986591556118,0.8192,-1.33348345756531,-3.54374504089355,2.06871527946463,2.09117928300781,2.56208857961747,61.9672046403513,1.29202991258338,0.780690515528751,4.0,0.0,76.0,0.0,0.0,4.666666666666667,2.6666666666666665,12.666666666666666
G-1_00,1.1024,2.37457751849656,0.9216,2.37457751849656,0.9216,-2.94200468063354,-4.29232692718506,2.19613482128805,2.20593909322074,2.57658150878533,47.4822623029671,-2.31447590873176,-1.8139887391664,33.78378378378378,0.0,0.0,0.0,0.0,48.648648648648646,0.0,17.56756756756757
G-2_10,1.0973,1.5585111619454,0.8192,1.339976729056,0.7168,-0.818112194538116,-1.71334052085876,2.1426047646883,2.15016273100832,1.90247944573413,43.9864537637864,4.59484452879189,4.8807939971604,26.71232876712329,0.0,0.0,0.0,0.0,67.12328767123287,0.0,6.164383561643835
G-2_11,1.0817,3.39790471725369,0.9216,3.39790471725369,0.9216,1.28518235683441,-0.961003422737122,2.11752911588581,2.12366671890403,3.68696258382562,52.9485499761104,0.111825941117223,-3.05357490645617,27.333333333333332,0.0,0.0,0.0,0.0,62.0,0.6666666666666666,10.0
H-1_00,1.1511,3.46590430654111,0.8448,2.74151111130939,0.7168,1.16069459915161,0.0228076279163361,2.37192224634449,2.32073663792495,4.102632938614,48.1746805239268,-10.0871899375323,-7.58796598158516,6.040268456375839,0.0,0.0,0.0,0.0,36.241610738255034,53.02013422818792,4.697986577181208
H-2_00,1.1051,1.18852417198432,0.8192,1.07793525120292,0.7168,-0.406846314668655,-1.08668196201324,2.10518608268233,2.10357992436099,1.4508351708793,26.091424230628,-6.68053168007758,-7.17324055872169,0.6756756756756757,0.0,11.486486486486486,0.0,18.91891891891892,0.0,68.24324324324324,0.6756756756756757
H-3_00,1.0846,1.61793301710791,0.8448,1.41526642713466,0.7168,-1.38398265838623,-1.95354974269867,2.22244252359472,2.20016750304578,1.91516692365993,27.9601703102038,-8.89777782249277,-8.52419248722888,0.0,0.0,0.6896551724137931,0.6896551724137931,0.0,0.0,93.79310344827586,4.827586206896552
H-4_00,1.0552,1.74863629655622,0.8192,1.28665448265043,0.6144,-1.74105548858643,-2.28992795944214,2.2374515059627,2.20823496241354,2.1345657916946,37.5318228897533,-6.80741235407773,-6.77471342296723,0.0,0.0,0.0,0.0,0.0,0.0,94.16058394160584,5.839416058394161
H-4_10,1.0712,1.56219273899264,0.9216,1.56219273899264,0.9216,-1.75394427776337,-2.35986614227295,2.14851838132371,2.14728440241393,1.69508760741389,32.7478955771579,-4.50208225339318,-5.34009819525654,0.0,0.0,0.0,0.0,0.0,0.0,98.63945578231292,1.3605442176870748
H-5_00,1.1102,1.30728818378627,0.8192,1.18964898037168,0.7168,-0.976069629192352,-1.76450681686401,2.12314142122054,2.12511279391404,1.59581077122348,24.135797572763,-4.65407401995933,-3.35055484949316,0.6756756756756757,0.0,2.027027027027027,0.0,0.0,3.3783783783783785,93.91891891891892,0.0
H-5_01,1.1068,0.882378733605584,0.768,0.68081916865588,0.6144,-1.73393976688385,-2.05986618995667,2.03691803030959,2.019885700122,1.1489306427156,19.435112956404,-1.61980926923769,-1.21850075612077,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
